label,scale,method,ene,delta,reldelta
2a,1,PBE+MBD(scs),-29.257665687662353,0.6423343123376455,0.02148275292099149
2a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-29.409559065022606,0.49044093497739283,0.016402706855431198
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-24.336300424085476,5.563699575914523,0.18607690889346232
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-23.769554050121947,6.130445949878052,0.2050316371196673
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-23.490990566120903,6.4090094338790955,0.21434814160130755
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-22.776111372752965,7.123888627247034,0.23825714472398107
2a,1,PBE,-0.5561566455745284,29.34384335442547,0.9813994432918218
2b,1,PBE+MBD(scs),-19.023070738602538,1.476929261397462,0.07204532982426644
2b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-18.96314161232542,1.536858387674581,0.07496870183778444
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-15.579995751356504,4.920004248643496,0.24000020725090224
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-15.047727078948226,5.452272921051774,0.2659645327342329
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-14.971931938943154,5.528068061056846,0.26966185663691933
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-14.340459863724336,6.159540136275664,0.30046537250125194
2b,1,PBE,1.7412661509459568,22.241266150945957,1.0849398122412661
3a,1,PBE+MBD(scs),-23.58342429576724,0.7165757042327598,0.029488712108344025
3a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-25.14097134558468,-0.8409713455846806,-0.03460787430389632
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-20.95664836268431,3.343351637315692,0.13758648713233299
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-20.631028564004087,3.668971435995914,0.15098647884756847
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.222289480626532,4.077710519373468,0.1678070172581674
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-19.75441331727213,4.545586682727869,0.18706118035917155
3a,1,PBE,0.3799895552461328,24.679989555246134,1.0156374302570426
3b,1,PBE+MBD(scs),-18.811549642673995,1.5884503573260034,0.07786521359441194
3b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-20.41578996551233,-0.015789965512333026,-0.0007740179172712269
3b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-18.422342079418456,1.9776579205815423,0.09694401571478149
3b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-18.34053074032866,2.0594692596713386,0.10095437547408523
3b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-17.992200791426402,2.4077992085735964,0.11802937296929394
3b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-17.825757894154684,2.5742421058453147,0.12618833852182915
3b,1,PBE,-6.57952515523501,13.820474844764988,0.6774742570963229
4a,1,PBE+MBD(scs),-28.20717727124622,-0.7071772712462199,-0.025715537136226176
4a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-31.04651675006968,-3.5465167500696815,-0.12896424545707932
4a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-23.73857170761691,3.7614282923830906,0.13677921063211237
4a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-23.245840481269706,4.254159518730294,0.1546967097720107
4a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-22.61713766988322,4.8828623301167795,0.17755863018606471
4a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-21.91510944032737,5.58489055967263,0.2030869294426411
4a,1,PBE,12.512225914853259,40.01222591485326,1.4549900332673913
4b,1,PBE+MBD(scs),-29.797562862575408,-1.0975628625754084,-0.03824260845210482
4b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-32.334051626244964,-3.6340516262449647,-0.12662200788309982
4b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-24.99653395251174,3.7034660474882592,0.12904062883234352
4b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-24.415424359175415,4.284575640824585,0.14928834985451514
4b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-23.795933147492384,4.904066852507615,0.17087340949503885
4b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-22.999071652998,5.700928347001998,0.19863861836243896
4b,1,PBE,13.885197465403351,42.585197465403354,1.4838047897353086
5a,1,PBE+MBD(scs),-33.72443623601106,1.0755637639889386,0.030907004712325825
5a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-34.57255090025854,0.227449099741456,0.006535893670731495
5a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-32.30355704698298,2.4964429530170165,0.07173686646600623
5a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-31.477524159992093,3.322475840007904,0.09547344367838806
5a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-31.44902487823969,3.3509751217603068,0.09629238855633067
5a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-30.56580857599445,4.234191424005548,0.12167216735648127
5a,1,PBE,-14.656601614996958,20.14339838500304,0.5788332869253747
5b,1,PBE+MBD(scs),-22.37084062864581,-1.0708406286458079,-0.05027420791764356
5b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-23.163938801165774,-1.863938801165773,-0.08750886390449637
5b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-21.116298285174086,0.18370171482591502,0.008624493653798826
5b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-20.44502251768547,0.8549774823145313,0.04013978790209067
5b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.38763854676422,0.912361453235782,0.04283387104393343
5b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-19.66355433541009,1.6364456645899104,0.07682843495727279
5b,1,PBE,-5.077655260861359,16.22234473913864,0.7616124290675418
6a,1,PBE+MBD(scs),-82.24022186204888,-4.840221862048878,-0.0625351661763421
6a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-84.44909328223282,-7.049093282232818,-0.09107355661799506
6a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-80.7414302289547,-3.3414302289546924,-0.0431709331906291
6a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-80.12966075406732,-2.729660754067311,-0.035266934807071194
6a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-80.22012603819384,-2.820126038193834,-0.036435736927568914
6a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-79.54015721987783,-2.140157219877821,-0.02765061007594084
6a,1,PBE,-63.19049546228577,14.209504537714238,0.1835853299446284
6b,1,PBE+MBD(scs),-78.39700208634738,-1.3970020863473849,-0.018142884238277725
6b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-80.20328980406735,-3.203289804067353,-0.041601166286589
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-77.21537689316573,-0.2153768931657254,-0.0027971025086457844
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-76.65493082239092,0.3450691776090764,0.004481417891026966
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-76.78356086222155,0.21643913777845114,0.002810897893226638
6b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-76.17052962615969,0.8294703738403086,0.010772342517406606
6b,1,PBE,-62.78873638014379,14.211263619856211,0.18456186519293782
7a,1,PBE+MBD(scs),-131.71264709531906,-0.21264709531905623,-0.0016170881773312261
7a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-135.02092238488527,-3.5209223848852673,-0.02677507517023017
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-125.80868851440546,5.6913114855945395,0.0432799352516695
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-124.9118034639114,6.588196536088603,0.050100353886605345
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-124.4901164437901,7.0098835562099,0.0533070992867673
7a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-123.46281962309219,8.037180376907813,0.061119242409945346
7a,1,PBE,-86.72345033298505,44.77654966701495,0.3405060811179844
7b,1,PBE+MBD(scs),-27.29431940884049,-4.694319408840489,-0.20771324817878267
7b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-30.651801672222952,-8.05180167222295,-0.3562744102753518
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-24.368461466042625,-1.7684614660426234,-0.07825050734701873
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-24.19138100790256,-1.5913810079025588,-0.07041508884524596
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-23.71030505250178,-1.1103050525017792,-0.049128542146096424
7b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-23.39873876619002,-0.79873876619002,-0.03534242328274425
7b,1,PBE,1.3455686961635935,23.945568696163594,1.0595384378833448
